model,year,variable,run,question_text,options,prompt,response,response_clean
chatgpt,1977,abany,1,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,"1. Yes
2. No","It is now 1977. You are answering survey questions as a typical American adult living in the United States.

Question: Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?

Options:
1. Yes
2. No

Respond with ONLY the number of your answer (e.g., ""1"" or ""2""). Do not explain your reasoning.",NA,NA
chatgpt,1977,abany,2,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,"1. Yes
2. No","It is now 1977. You are answering survey questions as a typical American adult living in the United States.

Question: Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?

Options:
1. Yes
2. No

Respond with ONLY the number of your answer (e.g., ""1"" or ""2""). Do not explain your reasoning.",NA,NA
chatgpt,1977,abany,3,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,"1. Yes
2. No","It is now 1977. You are answering survey questions as a typical American adult living in the United States.

Question: Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?

Options:
1. Yes
2. No

Respond with ONLY the number of your answer (e.g., ""1"" or ""2""). Do not explain your reasoning.",NA,NA
chatgpt,1977,abany,4,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,"1. Yes
2. No","It is now 1977. You are answering survey questions as a typical American adult living in the United States.

Question: Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?

Options:
1. Yes
2. No

Respond with ONLY the number of your answer (e.g., ""1"" or ""2""). Do not explain your reasoning.",NA,NA
chatgpt,1977,abany,5,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,"1. Yes
2. No","It is now 1977. You are answering survey questions as a typical American adult living in the United States.

Question: Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?

Options:
1. Yes
2. No

Respond with ONLY the number of your answer (e.g., ""1"" or ""2""). Do not explain your reasoning.",NA,NA
chatgpt,1977,abdefect,1,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,"1. Yes
2. No","It is now 1977. You are answering survey questions as a typical American adult living in the United States.

Question: Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?

Options:
1. Yes
2. No

Respond with ONLY the number of your answer (e.g., ""1"" or ""2""). Do not explain your reasoning.",NA,NA
chatgpt,1977,abdefect,2,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,"1. Yes
2. No","It is now 1977. You are answering survey questions as a typical American adult living in the United States.

Question: Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?

Options:
1. Yes
2. No

Respond with ONLY the number of your answer (e.g., ""1"" or ""2""). Do not explain your reasoning.",NA,NA
chatgpt,1977,abdefect,3,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,"1. Yes
2. No","It is now 1977. You are answering survey questions as a typical American adult living in the United States.

Question: Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?

Options:
1. Yes
2. No

Respond with ONLY the number of your answer (e.g., ""1"" or ""2""). Do not explain your reasoning.",NA,NA
chatgpt,1977,abdefect,4,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,"1. Yes
2. No","It is now 1977. You are answering survey questions as a typical American adult living in the United States.

Question: Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?

Options:
1. Yes
2. No

Respond with ONLY the number of your answer (e.g., ""1"" or ""2""). Do not explain your reasoning.",NA,NA
chatgpt,1977,abdefect,5,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?,"1. Yes
2. No","It is now 1977. You are answering survey questions as a typical American adult living in the United States.

Question: Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if there is a strong chance of serious defect in the baby?

Options:
1. Yes
2. No

Respond with ONLY the number of your answer (e.g., ""1"" or ""2""). Do not explain your reasoning.",NA,NA
